Producto interno bruto por entidad federativa y tipo de actividad,,,,,,,,,,,,,,,,
Unidad de medida:Millones de pesos a precios de 2013.,,,,,,,,,,,,,,,,
Periodicidad: Anual,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Actividad económica,Entidad,Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015p/,2016
Actividades secundarias,Hidalgo ,Hidalgo -Actividades secundarias," 65,079 "," 74,254 "," 71,022 "," 70,076 "," 74,125 "," 75,882 "," 69,871 "," 70,684 "," 72,820 "," 74,832 "," 75,662 "," 80,406 "," 86,750 "," 89,590 "
Actividades secundarias,Jalisco ,Jalisco -Actividades secundarias," 256,280 "," 257,616 "," 270,440 "," 289,306 "," 297,560 "," 287,316 "," 264,120 "," 283,245 "," 289,496 "," 301,333 "," 310,654 "," 333,438 "," 355,608 "," 363,485 "
Actividades secundarias,México ,México -Actividades secundarias," 333,113 "," 337,044 "," 340,529 "," 348,649 "," 351,912 "," 348,496 "," 322,572 "," 357,699 "," 371,543 "," 377,182 "," 382,416 "," 373,272 "," 375,789 "," 380,616 "
Actividades secundarias,Michoacán de Ocampo ,Michoacán de Ocampo -Actividades secundarias," 62,921 "," 67,432 "," 67,492 "," 69,989 "," 73,824 "," 73,008 "," 60,791 "," 66,485 "," 66,963 "," 67,719 "," 68,418 "," 74,365 "," 72,224 "," 70,031 "
Actividades secundarias,Morelos ,Morelos -Actividades secundarias," 53,200 "," 52,038 "," 60,805 "," 54,497 "," 55,524 "," 56,967 "," 60,724 "," 62,963 "," 58,398 "," 54,868 "," 55,778 "," 58,103 "," 55,567 "," 57,349 "
Actividades secundarias,Nayarit ,Nayarit -Actividades secundarias," 12,817 "," 20,621 "," 22,020 "," 21,054 "," 20,577 "," 22,934 "," 20,240 "," 20,078 "," 20,061 "," 20,655 "," 21,060 "," 24,523 "," 24,253 "," 25,102 "
Actividades secundarias,Nuevo León ,Nuevo León -Actividades secundarias," 303,750 "," 322,968 "," 342,797 "," 368,939 "," 392,755 "," 391,188 "," 361,886 "," 392,825 "," 401,705 "," 410,828 "," 407,371 "," 420,890 "," 447,587 "," 434,881 "
Actividades secundarias,Oaxaca ,Oaxaca -Actividades secundarias," 54,971 "," 56,427 "," 54,198 "," 54,586 "," 54,441 "," 58,287 "," 61,022 "," 59,467 "," 62,519 "," 63,785 "," 68,077 "," 69,924 "," 71,723 "," 67,465 "
Actividades secundarias,Puebla ,Puebla -Actividades secundarias," 128,317 "," 129,721 "," 147,166 "," 155,028 "," 163,319 "," 163,704 "," 140,227 "," 158,685 "," 169,474 "," 186,369 "," 172,756 "," 173,717 "," 178,668 "," 186,456 "
Actividades secundarias,Querétaro ,Querétaro -Actividades secundarias," 82,772 "," 90,154 "," 96,990 "," 100,792 "," 103,664 "," 102,607 "," 99,341 "," 107,725 "," 116,822 "," 120,843 "," 119,646 "," 134,309 "," 143,554 "," 151,289 "
